"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"155.5","Elijah Mitchell","SF","16.4","6.3","","","7.2","","16.7","19.7","10.4","9.1","","25.3","15.9","","","","20","8.5"
"47.1","Chris Carson","SEA","13.2","15.1","15.2","3.6","","","","","","","","","","","","","",""
"207.2","Nick Chubb","CLV","23","16.3","8.4","11","23.5","","","7.4","29.3","","21.4","4.9","","8","15.8","25.9","5.8","6.5"
"310.8","Austin Ekeler","LAC","11.7","16","19.7","28","32.4","7.5","","21.4","9.7","13.4","38.5","18.9","18.9","15.4","16.2","","18.7","24.4"
"8.2","Johnny Stanton","CLV","","","","","","1.1","7.1","","","0","","","","","","","",""
"0","Jordan Wilkins","TEN","","","","0","","","","","","","","","","","","","",""
"0","Jeffery Simmons","TEN","","","","","","","","","","","","","","","","","","0"
"3.6","Patrick Laird","MIA","","","","","","","","1.5","0","0.7","1.4","0","0","","","","",""
"104.2","Miles Sanders","PHI","13.3","6.4","7","6.2","7.6","7.6","3.2","","","","9.4","6.9","15.7","","15.6","5.3","",""
"65.2","Dontrell Hilliard","TEN","","","","","","","","","","","12.2","19.8","","1.3","7.9","2.4","15.3","6.3"
"8.4","Andy Janovich","CLV","0","6","0","0","0","","","","0","0","0","","","0.8","0","1.6","0","0"
"98.6","Latavius Murray","BLT","8.8","9.6","2.8","11.9","4","12.6","","","","","4.3","1.4","4.5","6.1","5.6","2.9","3.1","21"
"29.6","Royce Freeman","HST","","0","3","1.2","1.3","0.3","2.4","2.5","","","","","2.6","9.6","0.8","3.4","2.5","0"
"0","Khyiris Tonga","CHI","","","","","","","","","","","","","","","","","0",""
"34.6","Ke'Shawn Vaughn","TB","","","","","","","2.7","","","","0.4","","","","1.9","13","5.5","11.1"
"6.7","Mike Boone","DEN","","","","","","0.8","","0","","","","","5.9","","","","0",""
"52.7","Damien Williams","CHI","6","1.4","0","14","15.4","","1.3","-0.3","","","","","","2.2","0","1.9","0","10.8"
"111.9","Alexander Mattison","MIN","1.1","3.3","20.1","2","24.8","1","","1","0.8","4.5","0.5","9.8","19.9","2.7","","14.5","3.3","2.6"
"138.4","Michael Carter","NYJ","2.5","9.8","3.9","9.9","13.3","","14.4","27.7","9.1","16.2","7","","","","2.5","13.4","6.8","1.9"
"0","Leki Fotu","ARZ","0","","","","","","","","","","","","","","","","",""
"0","Vita Vea","TB","0","0","","","","","","","","","","","","","","","",""
"46","Tevin Coleman","NYJ","2.4","2.4","","4.1","1.1","","","","","4.3","2.3","8","9.2","","5","6.6","","0.6"
"5.4","Kalen Ballage","PIT","","","","0","0","1.5","","-0.3","0.7","0","0.3","3.2","","","","","","0"
"25","Eno Benjamin","ARZ","","","","","","","0.7","","9.9","2.2","2.5","","1.8","0","","","0.3","7.6"
"47.8","Travis Homer","SEA","0","2.4","6.3","0.5","2.3","5.9","1.4","1.7","","4","0.4","","17","","","0","2.7","3.2"
"179.9","D'Andre Swift","DET","20.4","9.8","20.2","6.9","19.4","15.2","24.4","7.6","","15","21.1","2.4","","","","","4.9","12.6"
"19.6","Tony Jones Jr.","NO","5.8","0.7","3.2","1","","","","","","","0.2","2.7","","3.4","","0.6","-0.2","2.2"
"94.1","Boston Scott","PHI","","","1.5","","","","9.4","18","4","11.5","2.8","14.2","0","","","10.1","22.6",""
"-0.1","Nate McCrary","BLT","","","","","","","","","","","","","-0.1","","","","",""
"1.3","Ryan Nall","CHI","","","","","0","0","0.9","0.4","0","","","","","","","","0",""
"137.1","Tony Pollard","DAL","6.3","21.5","7","6.7","12.3","7.8","","3.2","4.8","12.8","8","8.8","14.4","","10.2","6","7.3",""
"4","Gabe Nabers","LAC","0.2","0","2.1","0","0","1.1","","","","","","","","0","0.4","","0.2",""
"101.6","Brandon Bolden","NE","0.5","","3.7","8.1","5.1","0.7","16.9","2.6","9.1","8.5","2.6","7.4","4","","5.9","3.4","3.5","19.6"
"6","Trayveon Williams","CIN","","","","","","1.3","","","","","","","","","","","","4.7"
"0","Kenjon Barner","TB","","","","","","","","","","","","","","","","","","0"
"1.5","Gary Brightwell","NYG","1.1","","0.4","","","","","","","","0","0","","","","","",""
"0","Darian Thompson","DAL","0","","","","","","","","","","","","","","","","",""
"7.3","Rodney Smith","CAR","","","","7.3","0","","","","","","","","","","","","",""
"6.3","Jakob Johnson","NE","0","0","0","0","0","0","4.2","0.7","0","0","0","0","0","","0","1.4","0","0"
"148.9","Darrell Henderson","LA","15.2","15.7","","14.1","16.4","23.7","7.9","21.8","7.3","6.1","","15.3","","","3.7","1.7","",""
"205.1","Damien Harris","NE","12.7","12.9","2.1","3.6","11.8","17.3","24.3","14","9.8","","7","11.7","17.1","","","28.3","17.2","15.3"
"66.3","Alex Collins","SEA","","2.5","0.8","14.8","8.2","16.3","4.9","4.4","","5.4","3.6","3.2","","2.2","","","",""
"26.8","Trey Sermon","SF","","0.8","10.4","8.9","0.7","","","","","","6","","","","","","",""
"1.1","Mekhi Sargent","JAX","0.2","","0.2","","","","","","","","","","0.5","","","","","0.2"
"205","Aaron Jones","GB","3.2","38.5","16.6","11.4","12.9","19","6.4","20.5","5.3","10.6","","2.3","","20","14","11.2","13.1",""
"33.6","Le'Veon Bell","TB","","","","1.1","","7.8","0.9","","10.8","0.1","","","","","","-0.1","5","8"
"9","Kene Nwangwu","MIN","","","","","","","","","","","","0.7","1.4","","3.3","2.3","","0.4"
"3.2","Scottie Phillips","HST","","","","","","","","3","0.2","","","","","","","","",""
"11.1","Ryquell Armstead","JAX","","","","","","","","","","","","","","","","","3.9","7.2"
"137.8","Sony Michel","LA","0.2","4.6","9.4","1.1","11","4.2","0.4","6.6","9.6","4.1","","3","20.4","7.9","12.5","20","17.4","5.4"
"0","Micah Hyde","BUF","","0","0","0","0","","","","","","","","","","","","",""
"18","Austin Walter","NYJ","","","","","","","","","","","","9.8","2.1","","1.2","","4.9",""
"29.4","Jerick McKinnon","KC","0","1.9","0","0","2.5","2","2.7","0","4.1","3.7","","","","","","","0","12.5"
"0.7","Damarea Crockett","DEN","","","0.7","","","","","","","","","","","0","","","",""
"15.1","Larry Rountree III","LAC","2.7","0.3","0.3","3.1","","","","1.1","0.1","7","0.5","","","","","","",""
"24.4","C.J. Ham","MIN","1.9","0","0.2","0.1","2","3","","1.8","3.2","2.8","0","2.1","2.4","0","0.8","2.3","0.6","1.2"
"110.1","Clyde Edwards-Helaire","KC","8.7","4.6","17.9","18.4","2.9","","","","","","14.6","","9.7","17.7","6","9.6","",""
"23.7","Jermar Jefferson","DET","","","","","","","","10.9","","10.1","","0","1.8","0","0.9","","",""
"170.6","A.J. Dillon","GB","3.1","3.1","3.6","10.2","15.9","5.9","1.3","7.8","11","25.8","12.7","17.5","","7.1","10","7.1","21.3","7.2"
"2.8","Darrynton Evans","TEN","","","","","","","2.8","","","","","","","","","","",""
"57.1","Duke Johnson Jr.","MIA","","","","","","","","","","","1.8","","","","25.2","3.9","7.5","18.7"
"0.3","Nathan Cottrell","JAX","","","","","","","","","","","","","","","","0.3","",""
"0","Andrew Beck","DEN","","","0","0","0","0","0","0","0","0","","0","0","0","0","","",""
"0","Minkah Fitzpatrick","PIT","0","","","","0","","","","","","","","0","","0","","",""
"357.1","Jonathan Taylor","IND","14.6","5.8","7.7","18.9","30.4","28.3","18.5","19.7","33","21.6","51.9","17.7","26.3","","23","10.8","17.9","11"
"11.9","Jason Cabinda","DET","0","0.9","0","0","0","0","","0","","0.2","2.1","0","0","0","7.1","1.6","",""
"187.1","Melvin Gordon III","DEN","19.3","7.9","14.6","7.7","5.3","8.8","10.2","19.7","16.5","10.8","","9.3","","23.1","6.6","0.5","8.7","18.1"
"52.1","Derrick Gore","KC","","","","","","","1.2","10.8","2.4","1.9","","","0","15.9","","11.9","5","3"
"3.1","Derek Watt","PIT","0","","0.8","0","0","0","","0","0.8","1.4","0","0","0","0","0","0","0.1","0"
"18.7","Jonathan Williams","WAS","","","","","","","","","","","","","","10","0.5","1.6","2.1","4.5"
"0","Nick Ralston","DAL","","","0","","","","","","","","","","","","","","",""
"16.7","Patrick Ricard","BLT","2.5","0.2","0","0.9","0","0","0","","11","0","0.2","0.5","1.4","","","","0",""
"69.7","Samaje Perine","CIN","3.4","0","1.2","2.7","16.3","","14","2.6","4.7","","3.6","2","5.1","5.3","5.3","1.6","1.9",""
"127.1","Chuba Hubbard","CAR","1.4","1","9.4","8.1","15.9","13","7.6","15.6","4.1","8.7","0","0.6","","9.3","4.6","0.9","14.3","12.6"
"1.2","Jacques Patrick","SF","","","","1.2","","","","","","","","","","","","","",""
"213.9","Antonio Gibson","WAS","12.3","8.3","16.9","14.5","20.2","5.4","6.6","6.9","","20.8","9.3","18.1","19.6","5.1","15.5","12.8","","21.6"
"43.4","Phillip Lindsay","MIA","8.5","8.9","0.5","-0.1","1.9","6.4","0.8","0.8","2.8","","-0.3","4.2","","","","3.6","1.4","4"
"1.3","John Kelly","CLV","","","","","","","1.3","","","","","","","","","","",""
"129.6","Devonta Freeman","BLT","","2.9","0.8","0.4","5","11.3","11.4","","15.3","7.3","17","6.5","18.2","9.7","2.9","9","8.2","3.7"
"19.6","Alec Ingold","LV","4.2","0","6.6","0","0","0","3.5","","4.3","1","","","","","","","",""
"2","Khari Blasingame","TEN","0","0","","0","0","0","0","","","","","0.6","","","0","0.4","0","1"
"0.7","Tremon Smith","HST","","","","","","","","","","","","","","","","0.7","",""
"0","J.J. Watt","ARZ","0","","","","","","","","","","","","","","","","",""
"4.1","Reggie Gilliam","BUF","0","0.2","0","1.4","0","0","","0","","0","1.2","0","","0","0","1.3","0","0"
"43.6","Dare Ogunbowale","JAX","","","0","0.3","2.4","","","2.3","1","0","","0","","1.5","1.1","14.2","13.8","7"
"2","Raheem Mostert","SF","2","","","","","","","","","","","","","","","","",""
"11.9","Marlon Mack","IND","","1.6","","2.8","5.9","1.2","0.4","0","","","","","","","","","",""
"8.9","JaQuan Hardy","DAL","","","","","","","","","","","","","","0.3","","","","8.6"
"102","Ty Johnson","NYJ","3.1","5","2.8","2.3","10.4","","10.1","17.1","13.1","6.3","1.8","4.2","2.5","7.7","","0","15.7","-0.1"
"0","Cullen Gillaspia","NYG","","","0","","","","0","","0","","","","","","","","",""
"124.1","Devontae Booker","NYG","1.8","1.6","","1.7","19.3","8.9","13.6","15","13.7","","2.5","3.2","7.4","10.4","9.2","6.6","5.6","3.6"
"106.8","Jamaal Williams","DET","21","5.2","13.7","6.6","7.5","1.4","5.7","","","","1.1","10.8","8.5","","","7.7","11.9","5.7"
"1.9","Anthony McFarland Jr.","PIT","","","","","","","","0.1","","","","1.8","","","","","",""
"151.1","Myles Gaskin","MIA","10.1","6.6","8.9","0.3","26.9","2.4","15.7","7","14.7","5","17.1","18.2","5.9","","5.4","2.1","2.3","2.5"
"0","Giovanni Ricci","CAR","0","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0"
"97","Kareem Hunt","CLV","13.6","5.8","24.5","15.6","23.4","9.3","","","","","","2","","2.8","","","",""
"224.4","Ezekiel Elliott","DAL","4.9","16.7","25.1","20.3","24.2","15.4","","9.3","9.1","19.1","9.8","13.9","5.7","6.5","14.7","16.7","3.5","9.5"
"0","Sutton Smith","LV","","","","","","","","","","","","0","0","0","0","0","0","0"
"208.6","Cordarrelle Patterson","ATL","7.7","21.4","13.2","32.1","14.9","","13.1","15.7","16.6","4.4","","26.5","11.1","12.9","3.3","7.8","6.2","1.7"
"3.8","Dwayne Washington","NO","","","","1.6","0","","","","","0.8","1.4","","","","","","",""
"2.6","Reggie Bonnafon","CAR","","","","","","","","","","","","","","","","2.6","",""
"25.2","James White","NE","9.1","15.5","0.6","","","","","","","","","","","","","","",""
"61.5","Jordan Howard","PHI","","","","","","","","17.7","13.1","8.3","6.3","","","","6.9","6.6","2.6",""
"203","Josh Jacobs","LV","16.5","","","8.2","14.7","14.7","14.3","","11.5","6.1","8.6","18.2","19.5","9.5","10.9","12.9","16","21.4"
"0.9","Devine Ozigbo","NE","","","","","0","","0.9","","","","","","","","","","",""
"6.6","Christian Wilkins","MIA","","","","","0","","","","","0","0","","","","6.6","0","","0"
"50.9","Jaret Patterson","WAS","0.9","","","1.7","1.3","0.8","0","4.6","","0.7","2.3","0","0.2","4.3","8","3.3","18.3","4.5"
"9.1","Deon Jackson","IND","","","","","","","","","","","1.2","","7.9","","","","0",""
"130.1","Saquon Barkley","NYG","3.2","7.9","18.4","27.1","0.9","","","","","","8.6","7.3","10.4","17","9.4","3.3","10.2","6.4"
"263.7","Najee Harris","PIT","5.4","16.6","21.2","18.1","21.2","21.7","","19.5","15.3","15.3","14.4","5.2","13.2","23.9","3.6","13.5","28.1","7.5"
"47.6","Giovani Bernard","TB","2.2","2.6","15.6","","10.5","1.4","1.5","10.2","","1.3","0.8","0","1.5","0","","","",""
"40","JaMycal Hasty","SF","8.3","7.9","","","","","3.1","4.3","2.8","","","","0","2.5","2.1","4.4","1.1","3.5"
"91.8","Rex Burkhead","HST","1.1","0","1","-0.1","","0","0","12.3","0.9","","4","6.9","5","8.6","5.2","27.9","10.9","8.1"
"178","David Montgomery","CHI","18.3","9.4","6.5","22.6","","","","","9","","7.2","8.9","24.1","11.1","10.8","20.1","21.1","8.9"
"13.2","Michael Burton","KC","0.2","1.6","0","0.5","0.2","0","","0","0","0","0","","0.3","0.3","9.7","0.2","0.2","0"
"106.4","J.D. McKissic","WAS","0.8","17.8","4.8","14.4","1.2","15","7.6","13.3","","5.9","5.5","20.1","","","","","",""
"2.8","Cam Akers","LA","","","","","","","","","","","","","","","","","","2.8"
"239.7","James Conner","ARZ","5.3","2.6","17.8","19.6","10.2","7.6","12.4","14.2","37.8","14.4","18.4","","18.1","29","8","","","24.3"
"8.2","Jonathan Ward","ARZ","","","","0","","1.4","0.7","","","","","","","0","2","0.3","3.1","0.7"
"13.2","Keith Smith","ATL","4.6","0.3","0","0.2","0","","1.1","0","0","0.5","2.4","2.6","0.7","0","0","0","0","0.8"
"0","Malcom Brown","JAX","","","","","","","","","","0","0","","0","","0","0","",""
"2.5","Nick Bawden","NYJ","","","","","","","","","","0","2.5","0","0","","0","0","0","0"
"106.9","Kenneth Gainwell","PHI","11.3","4.2","4.9","17.9","2.9","0.6","14.1","2.7","6.3","1.9","","4.7","17.2","","0","1.1","0.4","16.7"
